Village_Name,Village_Name_English,Latitude,Longitude
Gandhali,,21.1031599,75.1048682
Amalgaon,,21.1280229,75.1153053
Kalali,,21.1714946,75.0737659
Vadhode,,21.1856925,75.0625409
Budhagaon,,21.1715536,75.1524925
Hatede Khurd,,21.2339416,75.1676341
Hatede Budruk,,21.2444017,75.1689924
Chaugaon,,21.3119456,75.2169075
Unknown,,21.4118451,75.0970181
Lasur,,21.3061563,75.1978113
Satrasen,,21.3613081,75.1496816
Morchida,,21.4009189,75.1782478
Umarti,,21.404012,75.2418177
Amalwadi,,21.3996668,75.2094842
Sagbati Chauki,,21.4092905,75.178006
Khamkheda PR. Ambe,,21.3977599,75.1433302
Ambe,,21.4302365,75.1128721
Bhoiti,,21.387981,75.1097275
Rohini,,21.388951,75.0943842
Chilare,,21.3932157,75.0390009
Fattepur,,21.3862687,75.0075268
Ajnad,,21.2871916,75.0359193
Babhla,,21.2797428,75.0557623
Tardi,,21.2774574,75.0737352
Hisale,,21.2677575,75.100699
Tande,,21.2625904,75.1096189
Hol,,21.2216438,75.0551529
Dhodasgaon,,21.2075203,75.0381456
Bhaver,,21.228292,75.0700864
Saver,,21.2962725,75.01669
Bhatpure,,21.2615815,75.0135347
Ajnad,,21.2638582,75.0283072
Varla,,21.4334516,75.1761995
Kharia,,21.4436995,75.1519589
Krishnapur,,21.3366059,75.254422
Unknown,,21.3753278,75.5351366
Mamlade,,21.2922,75.2625292
Chunchale,,21.2821782,75.2481966
Varad,,21.3245401,75.2861595
Nagalvadi,,21.3061874,75.2962371
Kazipura,,21.2564022,75.2154586
Akulkhede,,21.2466724,75.2525069
Chahardi,,21.2210107,75.230148
Mauje Hingone,,21.2686874,75.2280221
Kudgaon,,18.2408661,72.9728009
Vele,,21.2159314,75.2698518
Tandalwadi,,21.1580014,75.2226374
Fagne,,20.8889269,74.8371942
Nimgavhan,,21.1544994,75.2314361
Dondwade,,21.1696474,75.2050142
Dhupe Budruk,,21.2236165,75.1921149
Anwarde Khurd,,21.1831303,75.1641008
Vichakhede,,21.1888924,75.1823645
Ghadwel,,21.1898728,75.1964354
Bhardu,,21.2253407,75.1777275
Chaklia,,21.4119441,75.2795132
Shendani,,21.178789,75.1154461
Walaki,,21.1791732,75.12123
Kusumbe,,21.2315842,75.1058615
Ghodgaon,,21.2370124,75.1091392
Anwarde,,21.2242796,75.0876901
Galangi,,21.251861,75.1134607
Welode,,21.2444404,75.1112002
Vitner,,21.1847119,75.0923378
Mohide,,21.2194199,75.0659824
Ajanti Seem,,21.1998158,75.0454066
Kalmoda,,21.2054316,75.8616829
Pal,,21.3613929,75.902521
Sahastraling,,21.3186166,75.9510293
Lalmati,,21.3017447,75.9843443
Rasalpur,,21.2632911,76.0221738
Dhanore Pr. Chopda,,21.2625809,75.1211196
Bhawale,,21.2715393,75.1319772
Maratha,,21.3106418,75.1573874
Ganpur,,21.2845739,75.1371292
Gadtar,,20.8380773,74.7985271
Laling,,20.8167383,74.744958
Savalde,,20.8471616,74.7912959
Awadhan,,20.8474624,74.7658471
Ranmala,,20.8343272,74.7838286
Tikhi,,20.8055862,74.7838501
Anakwadi,,20.7667882,74.6895114
Junnar,,20.8268968,74.7218589
Diwanmala,,20.827338,74.7397438
Bharadenagar,,20.7941625,74.6162871
Morshewadi,,20.8210504,74.6962599
Sadgaon,,20.815254,74.6547178
Dahyane,,20.8553229,74.6899513
Balhane,,20.8494676,74.6426801
Padalde,,20.8528966,74.6218232
Raver,,20.8595437,74.7209362
Sanjori,,20.8798242,74.6723989
Udane,,20.8885651,74.6368243
Gotane,,20.8850518,74.6090983
Khede,,20.9167892,74.6348909
Kundane,,20.9090522,74.6872047
War,,20.9143438,74.688063
Gondur,,20.9443275,74.7276733
Mehergaon,,20.9737812,74.6254511
Nakane,,20.9101755,74.7426937
Nimdale,,20.9585419,74.6876082
Navlane,,20.982677,74.6209879
Kawathi,,20.9592765,74.5937367
Sutrapada,,20.9491916,74.637344
Purmepada,,20.7286433,74.6994565
Unknown,,20.4838918,74.7721937
Lakhani,,20.432646,74.6626952
Lakhani,,20.7020902,74.6444176
Bendrepada,,20.7002034,74.6554039
Nandre,,20.8756645,74.5026902
Ubhand,,20.8613688,74.5135049
Deur Khurd,,20.9040418,74.4796677
Deur Budruk,,20.9040418,74.4608708
Lonkhedi,,20.8999926,74.532474
Lohgad,,20.8953619,74.5328817
Morane Pr. Ner,,20.9273928,74.5667848
Unknown,,20.9308495,74.5444361
Bhadane,,20.938115,74.4812985
Mahal Raiwat,,20.9425038,74.5341262
Aklad,,20.9301586,74.5606694
Pimparkhede,,20.8289027,74.5096747
Nagzari,,20.8142922,74.5381613
Shirdane Pr. Ner,,21.0023498,74.5180769
Khandalai Budruk,,20.9899604,74.4993423
Nagaon Budruk,,20.9715572,74.7841113
Wadel,,20.9885671,74.7265575
Dhandhane,,20.9953043,74.7476236
Japi,,20.9584132,74.8556256
Damane,,20.9945174,74.7997498
Shirdane Pr. Dangri,,20.957752,74.8601317
Biladi,,20.9621603,74.8155212
Sukawad Pr. Dangari,,20.9978935,74.870721
Vishwanath,,20.9942675,74.8736178
Unknown,,20.9757456,74.8529541
Nyahalod,,20.9919189,74.8575195
Varkhede,,20.9237835,74.8188257
Kauthal,,21.0244962,74.8707679
Nimkhedi,,20.9334057,74.8412275
Kundane (War),,20.933063,74.8221731
Arni,,20.9291348,74.8463344
Naval Nagar,,20.9384741,74.8984765
Satarne,,20.9778689,74.906094
Nawari,,20.9560287,74.9038195
Nawara,,20.9579524,74.8998284
Vadgaon,,20.940178,74.8711931
Vani Budruk,,20.9242159,74.8736134
Ambode,,20.9110569,74.8985195
Nandale Khurd,,20.8906714,74.9264574
MUKTI,,20.8721267,74.9452114
Kasvihir,,20.8789033,74.9088621
Malane,,20.9243247,74.8755598
PImpalkhota,,20.9229618,74.9664115
Bholane,,20.9109376,74.9721193
Vasant Nagar,,20.915227,74.9667549
Jamde,,20.8770177,74.9469494
Janori,,21.2514884,75.8593079
Hambardi,,21.1835746,75.8094074
Bhalod,,21.1641382,75.7708327
Cavelossim,,15.1845618,73.9456314
Hazira,,21.0956055,72.6466021
